20 flow networks in flowNetworks2.txt.

** G1: |V|=100, V={0..99}
(u, v, weight) E = { 
      (12, 76,  12)
      (12, 85,  28)
      (12, 92,  90)
      (12, 95,  51)
      (13,  5,  37)
      (13, 15,   8)
      (13, 16,  68)
      (13, 43,  89)
      (13, 54,  33)
      (13, 63,  60)
      (13, 76,  56)
      (13, 83,  52)
      (13, 88,  35)
      (13, 90,  18)
      (14, 12,  36)
      (14, 16,  49)
      (14, 22,  23)
      (14, 26,  64)
      (14, 27,   5)
      (14, 28,  38)
      (14, 38,  75)
      (14, 42,  61)
      (14, 46,  88)
      (14, 47,  76)
      (14, 57,  55)
      (14, 58,  89)
      (14, 61,   1)
      (14, 62,  54)
      (14, 74,  71)
      (14, 88,  85)
      (15,  4,  48)
      (15,  8,  19)
      (15, 11,  14)
      (15, 18,  89)
      (15, 43,  31)
      (15, 71,  66)
      (15, 73,  21)
      (15, 79,  97)
      (15, 81,  24)
      (15, 86,  69)
      (15, 99,  84)
      (16,  3,  75)
      (16, 19,  27)
      (16, 22,  68)
      (16, 40,  85)
      (16, 46,  53)
      (16, 64,  35)
      (16, 68,  87)
      (16, 76,  30)
      (16, 78,  46)
      (16, 95,  13)
      (16, 99,  18)
      (17,  5,  49)
      (17, 16,  29)
      (17, 39,  19)
      (17, 43,  83)
      (17, 44,  84)
      (17, 48,  80)
      (17, 68,  82)
      (17, 72,  50)
      (17, 73,  91)
      (17, 75,  82)
      (17, 85,  58)
      (17, 95,  50)
      (18,  2,  29)
      (18, 11,  96)
      (18, 22,   8)
      (18, 38,  17)
      (18, 39,  89)
      (18, 46,  17)
      (18, 47,   2)
      (18, 71,  79)
      (19,  1,  48)
      (19,  7,  67)
      (19, 30,   4)
      (19, 39,  34)
      (19, 52,  31)
      (19, 64,  17)
      (19, 65,  65)
      (19, 73,  39)
      (19, 76,  65)
      (19, 84,  24)
      (19, 88,  26)
      (19, 89,  33)
      (19, 93,  55)
      (19, 94,  75)
      (20,  1,  83)
      (20,  4,  51)
      (20, 10,  79)
      (20, 18,  48)
      (20, 25,  98)
      (20, 34,  16)
      (20, 37,  21)
      (20, 53,  93)
      (20, 66,  49)
      (20, 70,  48)
      (20, 82,  29)
      (20, 87,  48)
      (20, 98,  42)
      (21,  3,  64)
      (21, 13,  52)
      (21, 18,  63)
      (21, 19,  87)
      (21, 36,  54)
      (21, 50,  79)
      (21, 52,   8)
      (21, 69,  16)
      (21, 77,  87)
      (21, 84,  35)
      (21, 90,  99)
      (21, 97,  60)
      (22,  1,  22)
      (22,  8,  96)
      (22, 17,  23)
      (22, 21,  62)
      (22, 40,  86)
      (22, 45,  83)
      (22, 47,  36)
      (22, 52,  19)
      (22, 56,  76)
      (22, 57,  89)
      (22, 58,  79)
      (22, 74,  39)
      (22, 76,  48)
      (22, 81,  32)
      (22, 85,  89)
      (22, 86,  61)
      (22, 92,  68)
      (22, 98,  28)
      (23,  1,  97)
      (23,  3,  63)
      (23,  8,  69)
      (23, 16,  54)
      (23, 46,  32)
      (23, 47,  53)
      (23, 53,  82)
      (23, 73,  12)
      (24, 18,  45)
      (24, 19,  81)
      (24, 21,  76)
      (24, 32,  23)
      (24, 34,   8)
      (24, 42,  39)
      (24, 45,  12)
      (24, 52,  74)
      (24, 59,  76)
      (24, 69,  21)
      (24, 74,  82)
      (24, 91,  38)
      (24, 92,  67)
      (25, 17,  27)
      (25, 49,  72)
      (25, 52,  96)
      (25, 53,  33)
      (25, 67,  91)
      (26,  8,  67)
      (26, 16,  29)
      (26, 47,  88)
      (26, 49,  42)
      (26, 68,  32)
      (26, 79,  52)
      (26, 92,  54)
      (26, 94,  20)
      (26, 99,  55)
      (27,  9,  90)
      (27, 23,   8)
      (27, 32,  77)
      (27, 38,  87)
      (27, 43,  96)
      (27, 57,  74)
      (27, 63,  25)
      (27, 68,  19)
      (27, 94,  91)
      (28,  2,  15)
      (28,  7,  46)
      (28, 12,  61)
      (28, 16,  79)
      (28, 36,  93)
      (28, 42,  38)
      (28, 67,  80)
      (28, 71,   8)
      (28, 83,  76)
      (28, 86,  37)
      (28, 90,   3)
      (28, 97,   2)
      (29,  4,  14)
      (29, 17,   4)
      (29, 35,  19)
      (29, 53,  19)
      (29, 89,  20)
      (30,  3,  67)
      (30,  7,  42)
      (30, 16,  24)
      (30, 20,  35)
      (30, 21,  36)
      (30, 29,  87)
      (30, 35,  39)
      (30, 36,  23)
      (30, 47,  94)
      (30, 51,  72)
      (30, 74,  84)
      (30, 78,  38)
      (30, 84,  34)
      (30, 85,  73)
      (31, 14,  73)
      (31, 19,  40)
      (31, 35,   2)
      (31, 59,  19)
      (31, 66,  73)
      (31, 70,  27)
      (31, 76,  36)
      (31, 81,  38)
      (31, 84,  69)
      (31, 86,  97)
      (31, 98,  75)
      (32, 23,  13)
      (32, 24,  18)
      (32, 25,  84)
      (32, 29,  43)
      (32, 63,  12)
      (32, 83,  88)
      (32, 93,  32)
      (33,  4,  79)
      (33, 20,  19)
      (33, 25,  16)
      (33, 32,  50)
      (33, 42,  56)
      (33, 65,  75)
      (33, 73,  96)
      (33, 78,  41)
      (33, 83,   5)
      (33, 86,  90)
      (33, 99,  59)
      (34,  8,  30)
      (34, 69,  91)
      (34, 79,  58)
      (34, 80,  27)
      (34, 81,  80)
      (34, 83,  37)
      (34, 95,  82)
      (34, 99,  43)
      (35,  6,  25)
      (35, 26,  72)
      (35, 38,  72)
      (35, 39,  18)
      (35, 72,  92)
      (35, 76,  82)
      (35, 86,  84)
      (35, 91,  70)
      (36,  6,  33)
      (36, 22,  76)
      (36, 29,  47)
      (36, 69,  39)
      (36, 88,  96)
      (36, 90,  30)
      (37, 10,  93)
      (37, 23,  55)
      (37, 24,  16)
      (37, 65,  31)
      (37, 72,  87)
      (37, 81,  49)
      (37, 86,  58)
      (37, 94,  34)
      (37, 96,  16)
      (38,  1,  73)
      (38, 34,  15)
      (38, 37,  58)
      (38, 39,  19)
      (38, 40,  19)
      (38, 57,  43)
      (38, 64,  19)
      (38, 99,  33)
      (39, 26,  93)
      (39, 30,  82)
      (39, 50,  65)
      (39, 55,   4)
      (39, 57,  31)
      (39, 83,  80)
      (39, 88,  91)
      (40,  7,  63)
      (40, 17,  98)
      (40, 23,  38)
      (40, 33,  34)
      (40, 35,   3)
      (40, 39,  17)
      (40, 41,  48)
      (40, 42,   7)
      (40, 47,   3)
      (40, 50,  36)
      (40, 63,  96)
      (40, 64,  22)
      (40, 73,  57)
      (40, 85,  98)
      (41,  1,  35)
      (41, 14,  88)
      (41, 44,  51)
      (41, 45,  36)
      (41, 71,  33)
      (42,  1,  60)
      (42,  4,  28)
      (42, 10,  37)
      (42, 11,  55)
      (42, 15,  79)
      (42, 24,  99)
      (42, 37,  39)
      (42, 41,  24)
      (42, 45,  60)
      (42, 48,  51)
      (42, 74,  92)
      (43,  4,  55)
      (43, 10,  20)
      (43, 11,  97)
      (43, 14,  47)
      (43, 39,  46)
      (43, 41,  92)
      (43, 45,  38)
      (43, 48,  98)
      (43, 53,  78)
      (43, 56,  36)
      (43, 60,  60)
      (43, 61,   3)
      (43, 65,  96)
      (43, 70,  45)
      (43, 84,  19)
      (43, 90,  98)
      (43, 91,  11)
      (44, 19,  45)
      (44, 40,  57)
      (44, 56,  67)
      (44, 65,   1)
      (44, 71,  56)
      (44, 93,  91)
      (45,  3,  55)
      (45, 11,  95)
      (45, 16,  95)
      (45, 34,  48)
      (45, 59,  55)
      (45, 66,  90)
      (45, 78,  59)
      (45, 80,  62)
      (45, 84,  42)
      (45, 85,  99)
      (45, 91,  12)
      (46, 10,  82)
      (46, 24,  33)
      (46, 31,  42)
      (46, 44,  22)
      (46, 66,  37)
      (46, 67,  66)
      (46, 90,   4)
      (46, 97,  93)
      (47, 74,  87)
      (47, 92,  52)
      (47, 99,  55)
      (48, 10,  63)
      (48, 22,  39)
      (48, 32,  36)
      (48, 47,  79)
      (48, 56,  70)
      (48, 61,  15)
      (48, 62,  44)
      (48, 76,  38)
      (48, 81,  14)
      (48, 84,  19)
      (48, 85,  88)
      (48, 97,  79)
      (49,  1,  91)
      (49,  2,  28)
      (49, 19,  95)
      (49, 26,  52)
      (49, 45,  98)
      (49, 50,  99)
      (49, 55,  55)
      (49, 57,  90)
      (49, 58,  98)
      (49, 78,  23)
      (49, 85,  26)
      (49, 92,  45)
      (49, 94,  62)
      (49, 96,  87)
      (50,  4,  21)
      (50, 17,  78)
      (50, 49,  79)
      (50, 73,  89)
      (50, 80,  47)
      (50, 98,  45)
      (51, 10,  26)
      (51, 32,  53)
      (51, 38,  49)
      (51, 58,  32)
      (51, 72,   0)
      (51, 92,  71)
      (52, 48,  67)
      (52, 50,  95)
      (52, 51,  86)
      (52, 59,  84)
      (52, 64,  51)
      (52, 66,  93)
      (53,  2,  40)
      (53, 67,  85)
      (53, 74,  13)
      (53, 75,  53)
      (53, 84,  91)
      (53, 85,  69)
      (53, 87,  37)
      (53, 91,  40)
      (53, 95,  40)
      (53, 96,  58)
      (54,  6,  91)
      (54, 13,  46)
      (54, 44,   7)
      (54, 60,  97)
      (54, 96,   6)
      (55,  1,  67)
      (55, 24,  75)
      (55, 33,  65)
      (55, 54,  61)
      (55, 77,  51)
      (55, 86,  33)
      (55, 87,  80)
      (56,  3,  62)
      (56,  8,  71)
      (56, 11,  23)
      (56, 13,  42)
      (56, 18,  70)
      (56, 19,  74)
      (56, 22,  45)
      (56, 25,  58)
      (56, 46,  93)
      (56, 48,  33)
      (56, 61,  42)
      (56, 81,  71)
      (56, 84,  29)
      (56, 89,  90)
      (57,  6,  88)
      (57, 10,   2)
      (57, 11,  10)
      (57, 35,  68)
      (57, 37,  14)
      (57, 61,  78)
      (57, 67,  25)
      (57, 68,  34)
      (57, 72,  37)
      (57, 80,  78)
      (57, 82,  20)
      (58,  1,  41)
      (58,  2,  24)
      (58, 18,  60)
      (58, 43,  38)
      (58, 50,  10)
      (58, 51,   6)
      (58, 59,  69)
      (58, 69,  63)
      (58, 90,  46)
      (59,  3,  76)
      (59,  8,  85)
      (59, 32,  85)
      (59, 38,  18)
      (59, 52,  58)
      (59, 54,  47)
      (59, 62,  51)
      (59, 70,   4)
      (59, 71,  58)
      (60,  2,  83)
      (60,  3,  51)
      (60, 30,  44)
      (60, 31,  80)
      (60, 48,   1)
      (60, 73,  49)
      (60, 85,  40)
      (60, 86,  69)
      (60, 87,  54)
      (60, 90,  38)
      (60, 98,  94)
      (61,  5,  80)
      (61,  6,  45)
      (61, 17,  52)
      (61, 27,  40)
      (61, 56,  63)
      (61, 60,  59)
      (61, 62,  78)
      (62,  1,  54)
      (62,  3,  34)
      (62, 30,  14)
      (62, 31,  28)
      (62, 51,  23)
      (62, 52,  65)
      (62, 80,  90)
      (62, 85,  18)
      (62, 87,  49)
      (63,  2,  77)
      (63,  7,  13)
      (63, 17,  80)
      (63, 20,  25)
      (63, 27,  31)
      (63, 31,  17)
      (63, 36,  36)
      (63, 37,  81)
      (63, 51,  76)
      (63, 58,  99)
      (63, 77,  58)
      (63, 80,  34)
      (63, 93,  55)
      (64,  3,   2)
      (64,  5,  41)
      (64, 34,  98)
      (64, 39,  53)
      (64, 40,  61)
      (64, 63,  67)
      (64, 67,  42)
      (65,  3,  52)
      (65,  5,  80)
      (65, 11,  57)
      (65, 13,  12)
      (65, 23,  74)
      (65, 31,   5)
      (65, 37,  89)
      (65, 38,  56)
      (65, 41,  19)
      (65, 72,  72)
      (65, 73,  47)
      (65, 75,  55)
      (65, 76,  42)
      (65, 94,  62)
      (66, 13,   7)
      (66, 34,  47)
      (66, 48,  85)
      (66, 50,  48)
      (66, 78,  13)
      (66, 89,  20)
      (66, 90,  60)
      (66, 97,  50)
      (66, 98,   3)
      (67, 16,  75)
      (67, 19,  44)
      (67, 22,  19)
      (67, 23,   7)
      (67, 37,  15)
      (67, 43,  98)
      (67, 44,  35)
      (67, 55,  15)
      (67, 74,  51)
      (68,  9,  91)
      (68, 18,  52)
      (68, 25,  45)
      (68, 38,  44)
      (68, 48,  68)
      (68, 59,  93)
      (68, 61,  35)
      (68, 62,  59)
      (68, 64,  34)
      (68, 66,  31)
      (68, 72,  93)
      (68, 76,   2)
      (68, 86,  87)
      (69, 19,  37)
      (69, 25,  19)
      (69, 32,   6)
      (69, 40,   4)
      (69, 45,  50)
      (69, 68,  39)
      (69, 88,  76)
      (70, 11,  89)
      (70, 13,  67)
      (70, 16,  20)
      (70, 22,  52)
      (70, 29,  93)
      (70, 50,  78)
      (70, 58,  55)
      (70, 61,  37)
      (70, 71,  18)
      (70, 72,  71)
      (70, 85,  57)
      (70, 93,  21)
      (70, 96,  40)
      (71,  8,  34)
      (71, 27,  15)
      (71, 28,  74)
      (71, 56,  35)
      (71, 82,  58)
      (71, 91,  80)
      (71, 96,  89)
      (71, 98,  94)
      (72, 16,  61)
      (72, 18,  42)
      (72, 28,  40)
      (72, 63,  90)
      (72, 67,  37)
      (72, 94,   1)
      (72, 95,   3)
      (72, 99,  24)
      (73,  5,  36)
      (73, 13,  86)
      (73, 35,  43)
      (73, 36,  83)
      (73, 45,  62)
      (73, 65,  66)
      (73, 66,  26)
      (73, 86,  76)
      (74,  3,  46)
      (74,  7,  38)
      (74, 19,  82)
      (74, 26,   0)
      (74, 35,  29)
      (74, 49,  78)
      (74, 51,  20)
      (74, 53,  96)
      (74, 54,  93)
      (74, 56,  55)
      (74, 73,  73)
      (74, 85,  92)
      (74, 90,  54)
      (74, 93,  47)
      (74, 97,  19)
      (75,  1,  84)
      (75, 16,  73)
      (75, 22,  20)
      (75, 37,  60)
      (75, 52,  87)
      (75, 81,  31)
      (75, 98,  95)
      (76,  2,  59)
      (76,  6,  93)
      (76, 16,  75)
      (76, 23,  98)
      (76, 31,  95)
      (76, 35,  52)
      (76, 47,   7)
      (76, 72,  44)
      (76, 85,   6)
      (76, 86,  15)
      (76, 88,  10)
      (77,  9,  18)
      (77, 18,  22)
      (77, 26,  30)
      (77, 31,  47)
      (77, 41,  89)
      (77, 42,  79)
      (77, 52,  87)
      (77, 55,  31)
      (77, 71,  13)
      (77, 76,  79)
      (77, 82,  16)
      (77, 85,  89)
      (77, 88,  98)
      (77, 90,  13)
      (77, 99,  55)
      (78,  2,   7)
      (78, 11,  63)
      (78, 25,  78)
      (78, 27,   6)
      (78, 28,   1)
      (78, 31,  11)
      (78, 51,  86)
      (78, 52,  70)
      (78, 58,  91)
      (78, 59,  53)
      (78, 63,  60)
      (78, 82,  63)
      (79,  1,  83)
      (79,  5,  41)
      (79, 10,  66)
      (79, 41,  80)
      (79, 47,  43)
      (79, 96,  18)
      (80,  3,  68)
      (80, 16,  61)
      (80, 20,  80)
      (80, 24,   0)
      (80, 25,  28)
      (80, 26,  93)
      (80, 32,  61)
      (80, 60,  78)
      (80, 71,  86)
      (80, 87,  83)
      (80, 88,  21)
      (80, 93,  22)
      (81, 19,  22)
      (81, 22,  10)
      (81, 30,  53)
      (81, 36,  53)
      (81, 51,  79)
      (81, 55,  19)
      (81, 77,  55)
      (81, 83,  57)
      (81, 96,  20)
      (81, 99,  42)
      (82, 24,  77)
      (82, 28,  13)
      (82, 31,   4)
      (82, 38,  42)
      (82, 50,   2)
      (82, 61,  87)
      (82, 64,  12)
      (82, 73,  64)
      (82, 74,  80)
      (82, 81,  73)
      (82, 99,  30)
      (83, 33,  28)
      (83, 39,  69)
      (83, 42,  63)
      (83, 48,  44)
      (83, 76,  22)
      (83, 77,  96)
      (83, 99,  44)
      (84, 14,  84)
      (84, 29,  12)
      (84, 30,  71)
      (84, 32,  78)
      (84, 36,  47)
      (84, 40,  97)
      (84, 69,  11)
      (84, 74,  45)
      (84, 81,  85)
      (84, 90,  36)
      (85,  6,  86)
      (85, 17,  67)
      (85, 25,  70)
      (85, 63,  35)
      (85, 68,  14)
      (85, 80,  60)
      (86, 35,  96)
      (86, 52,  38)
      (86, 70,  63)
      (87,  7,  33)
      (87,  8,  34)
      (87, 10,  76)
      (87, 19,   0)
      (87, 22,  30)
      (87, 24,  49)
      (87, 64,  13)
      (87, 67,   4)
      (87, 83,  87)
      (87, 92,  44)
      (88,  7,  15)
      (88, 16,  48)
      (88, 33,  69)
      (88, 97,  16)
      (89,  7,  38)
      (89, 10,  90)
      (89, 26,  62)
      (89, 34,   6)
      (89, 42,  38)
      (89, 45,   8)
      (89, 57,   3)
      (89, 60,  54)
      (89, 88,  22)
      (89, 92,  17)
      (89, 98,  88)
      (90,  2,  41)
      (90, 16,  56)
      (90, 17,  66)
      (90, 28,  11)
      (90, 32,   3)
      (90, 37,  56)
      (90, 42,  25)
      (90, 51,  89)
      (90, 53,  93)
      (90, 63,  72)
      (90, 69,  16)
      (90, 78,  11)
      (90, 83,  99)
      (90, 85,   8)
      (90, 94,  18)
      (90, 96,  70)
      (90, 98,   2)
      (91, 33,  64)
      (91, 37,  62)
      (91, 40,  67)
      (91, 42,  37)
      (91, 48,  90)
      (91, 49,   9)
      (91, 57,   6)
      (91, 64,  67)
      (91, 65,  58)
      (91, 66,  18)
      (91, 74,  59)
      (91, 92,  64)
      (91, 94,  65)
      (91, 99,  30)
      (92,  5,  56)
      (92, 22,  59)
      (92, 24,  22)
      (92, 41,  11)
      (92, 42,  93)
      (92, 55,  15)
      (92, 87,  59)
      (92, 91,  73)
      (92, 95,  37)
      (92, 97,  87)
      (93,  2,  38)
      (93,  3,   3)
      (93, 10,  22)
      (93, 13,  49)
      (93, 18,  15)
      (93, 36,  54)
      (93, 56,  18)
      (93, 69,  99)
      (93, 72,  27)
      (93, 79,   3)
      (93, 88,   0)
      (93, 97,  94)
      (94,  1,  14)
      (94,  6,  11)
      (94, 10,  60)
      (94, 13,  49)
      (94, 29,  18)
      (94, 42,  59)
      (94, 51,  23)
      (94, 52,  38)
      (94, 62,  75)
      (94, 74,  84)
      (94, 88,  37)
      (95, 17,  46)
      (95, 43,  75)
      (95, 61,  34)
      (95, 69,   2)
      (95, 74,  16)
      (95, 96,  23)
      (95, 97,  18)
      (96,  2,  73)
      (96, 10,  76)
      (96, 19,  72)
      (96, 72,  78)
      (97,  1,  92)
      (97,  5,   4)
      (97, 14,  35)
      (97, 17,  32)
      (97, 18,  95)
      (97, 24,  35)
      (97, 82,  93)
      (97, 86,  55)
      (97, 89,   9)
      (98,  3,  24)
      (98,  8,  94)
      (98,  9,  67)
      (98, 19,  33)
      (98, 62,  98)
      (98, 63,  50)
      (98, 73,  10)
      (98, 74,  44)
      (98, 85,  37)
      (98, 86,  66)
      (98, 88,  85)
      (98, 91,  94)
      (98, 93,  33) }
------------------------- 

** G2: |V|=100, V={0..99}
(u, v, weight) E = { 
      ( 0, 25,  62)
      ( 0, 48,  22)
      ( 0, 56,  71)
      ( 0, 74,  44)
      ( 0, 87,  54)
      ( 0, 89,   6)
      ( 0, 99,  16)
      ( 1,  4,  22)
      ( 1, 13,  74)
      ( 1, 18,  21)
      ( 1, 22,  52)
      ( 1, 33,  42)
      ( 1, 55,  49)
      ( 1, 56,  48)
      ( 1, 65,  97)
      ( 1, 86,  39)
      ( 2,  9,  21)
      ( 2, 24,  45)
      ( 2, 62,  57)
      ( 2, 77,  25)
      ( 2, 86,  32)
      ( 2, 87,  93)
      ( 3,  9,  72)
      ( 3, 15,  91)
      ( 3, 18,  46)
      ( 3, 36,  69)
      ( 3, 40,  95)
      ( 3, 47,   9)
      ( 3, 51,  15)
      ( 3, 67,  61)
      ( 3, 74,  60)
      ( 4,  9,  18)
      ( 4, 16,  43)
      ( 4, 31,   1)
      ( 4, 49,  29)
      ( 4, 51,  50)
      ( 4, 52,  96)
      ( 4, 61,  74)
      ( 4, 64,  64)
      ( 4, 84,  82)
      ( 4, 86,  73)
      ( 5, 29,  84)
      ( 5, 37,  52)
      ( 5, 74,  25)
      ( 5, 79,  69)
      ( 5, 86,  69)
      ( 5, 96,  84)
      ( 6,  8,  39)
      ( 6, 11,  67)
      ( 6, 67,  13)
      ( 6, 70,  45)
      ( 6, 76,  99)
      ( 6, 77,  85)
      ( 6, 78,  60)
      ( 6, 80,  42)
      ( 7,  3,   7)
      ( 7,  5,  59)
      ( 7, 17,  86)
      ( 7, 19,  94)
      ( 7, 22,  68)
      ( 7, 33,  47)
      ( 7, 35,  16)
      ( 7, 50,  79)
      ( 7, 85,  70)
      ( 8,  4,  12)
      ( 8,  7,  80)
      ( 8, 10,  25)
      ( 8, 39,  21)
      ( 8, 53,  46)
      ( 8, 59,  32)
      ( 8, 68,  86)
      ( 8, 78,  82)
      ( 8, 79,  89)
      ( 8, 84,   5)
      ( 8, 85,   6)
      ( 9,  3,  70)
      ( 9, 23,  49)
      ( 9, 34,  57)
      ( 9, 35,  58)
      ( 9, 44,   1)
      ( 9, 49,  23)
      ( 9, 56,  81)
      ( 9, 78,  80)
      ( 9, 90,  72)
      (10, 28,  19)
      (10, 43,  61)
      (10, 45,  86)
      (10, 56,  71)
      (10, 60,   5)
      (10, 79,  68)
      (10, 89,  39)
      (10, 99,  79)
      (11,  9,  39)
      (11, 17,  14)
      (11, 20,  91)
      (11, 29,  48)
      (11, 32,  60)
      (11, 56,  33)
      (11, 61,  16)
      (11, 68,   0)
      (11, 78,  67)
      (11, 96,  80)
      (11, 99,  82)
      (12,  4,   1)
      (12, 15,  51)
      (12, 24,  14)
      (12, 43,  77)
      (12, 46,  43)
      (12, 55,  64)
      (12, 67,  50)
      (12, 80,   0)
      (12, 87,   4)
      (12, 90,  83)
      (12, 91,  96)
      (12, 94,  18)
      (12, 95,  94)
      (13, 19,  32)
      (13, 22,   1)
      (13, 34,   8)
      (13, 36,  24)
      (13, 40,  27)
      (13, 57,  41)
      (13, 60,  30)
      (13, 80,  86)
      (13, 86,  63)
      (13, 87,  73)
      (13, 89,  47)
      (14,  7,  97)
      (14,  8,  84)
      (14, 20,  55)
      (14, 23,  96)
      (14, 29,  11)
      (14, 34,  14)
      (14, 49,  49)
      (14, 56,  10)
      (14, 62,  69)
      (14, 65,  24)
      (14, 67,  69)
      (14, 69,   8)
      (14, 79,  99)
      (15, 44,  64)
      (15, 56,  28)
      (15, 58,  20)
      (15, 72,  82)
      (15, 86,  46)
      (16,  4,  99)
      (16, 41,  52)
      (16, 45,  83)
      (16, 70,  39)
      (16, 75,  13)
      (16, 77,  81)
      (16, 90,  30)
      (16, 95,  89)
      (17,  3,  80)
      (17,  8,  89)
      (17,  9,  97)
      (17, 20,  46)
      (17, 28,  77)
      (17, 31,  34)
      (17, 33,  98)
      (17, 50,  26)
      (17, 54,  90)
      (17, 55,  97)
      (17, 64,  42)
      (17, 70,  60)
      (17, 76,  56)
      (17, 86,  89)
      (17, 88,  40)
      (18,  2,  48)
      (18,  4,  47)
      (18, 12,  71)
      (18, 13,  30)
      (18, 45,  72)
      (18, 51,  71)
      (19, 23,  93)
      (19, 42,  53)
      (19, 51,  94)
      (19, 54,  12)
      (19, 62,  32)
      (19, 69,  88)
      (19, 73,  55)
      (19, 93,  88)
      (19, 97,  23)
      (20, 22,  24)
      (20, 36,  97)
      (20, 59,  33)
      (20, 80,   8)
      (20, 81,   4)
      (20, 83,  61)
      (21,  1,  94)
      (21,  6,  41)
      (21,  8,   1)
      (21, 10,  16)
      (21, 70,  34)
      (21, 87,  72)
      (22, 11,  23)
      (22, 14,  40)
      (22, 21,  84)
      (22, 33,  85)
      (22, 41,  55)
      (22, 43,  72)
      (22, 49,  20)
      (22, 53,  55)
      (22, 63,  13)
      (22, 80,   0)
      (22, 81,  40)
      (22, 87,   4)
      (22, 90,  93)
      (22, 93,  27)
      (23, 10,   4)
      (23, 16,  17)
      (23, 21,  50)
      (23, 32,  45)
      (23, 48,  47)
      (23, 49,  60)
      (23, 59,  57)
      (23, 66,  99)
      (23, 68,  57)
      (23, 73,  22)
      (23, 75,  94)
      (23, 87,  72)
      (24,  6,  75)
      (24, 20,  58)
      (24, 32,   3)
      (24, 34,  76)
      (24, 41,  25)
      (24, 48,  30)
      (24, 62,  67)
      (24, 67,  74)
      (24, 73,  69)
      (24, 84,  61)
      (24, 94,  27)
      (24, 99,  65)
      (25, 10,  84)
      (25, 17,  77)
      (25, 26,  36)
      (25, 32,  91)
      (25, 38,  98)
      (25, 46,  74)
      (25, 55,  33)
      (25, 62,  57)
      (25, 67,  82)
