2 Undirected Graphs in unG4.txt.

** G1: |V|=2000, V={0..1999}
   Edges (u, v) E = { 
      (162, 835)
      (163, 1636)
      (164, 242)
      (165, 883)
      (165, 1691)
      (165, 1918)
      (166, 335)
      (166, 587)
      (166, 1075)
      (167, 527)
      (168, 752)
      (168, 1193)
      (168, 1290)
      (168, 1596)
      (168, 1695)
      (168, 1891)
      (170, 511)
      (171, 1558)
      (172, 1521)
      (172, 1854)
      (173, 642)
      (173, 775)
      (174, 298)
      (174, 329)
      (174, 403)
      (174, 559)
      (174, 846)
      (175, 1328)
      (176, 385)
      (176, 474)
      (176, 926)
      (176, 1033)
      (176, 1309)
      (177, 1409)
      (177, 1940)
      (177, 1982)
      (178, 705)
      (179, 1658)
      (179, 1678)
      (180, 912)
      (180, 1561)
      (180, 1948)
      (181, 617)
      (183, 1134)
      (183, 1568)
      (184, 717)
      (184, 1069)
      (184, 1080)
      (184, 1499)
      (184, 1816)
      (185, 269)
      (186, 1114)
      (187, 918)
      (187, 1687)
      (188, 324)
      (188, 1312)
      (188, 1508)
      (188, 1655)
      (189, 981)
      (189, 1698)
      (189, 1760)
      (189, 1908)
      (191, 686)
      (195, 457)
      (195, 619)
      (195, 624)
      (195, 1237)
      (196, 238)
      (196, 1050)
      (199, 955)
      (199, 1456)
      (202, 1957)
      (203, 572)
      (203, 1344)
      (204, 1548)
      (205, 1785)
      (206, 251)
      (207, 927)
      (207, 1110)
      (207, 1607)
      (208, 1506)
      (208, 1630)
      (209, 343)
      (209, 984)
      (209, 1062)
      (209, 1421)
      (210, 1024)
      (210, 1809)
      (211, 637)
      (211, 695)
      (211, 1734)
      (212, 244)
      (212, 1483)
      (212, 1844)
      (212, 1875)
      (213, 589)
      (214, 362)
      (215, 1333)
      (215, 1419)
      (215, 1570)
      (216, 268)
      (216, 398)
      (216, 972)
      (218, 1034)
      (218, 1118)
      (218, 1190)
      (218, 1578)
      (219, 1993)
      (220, 1787)
      (226, 246)
      (226, 327)
      (226, 1821)
      (227, 1081)
      (227, 1134)
      (228, 592)
      (229, 455)
      (229, 551)
      (229, 615)
      (229, 984)
      (230, 702)
      (230, 1296)
      (230, 1307)
      (230, 1913)
      (231, 1062)
      (231, 1683)
      (231, 1854)
      (232, 283)
      (233, 250)
      (233, 718)
      (233, 981)
      (233, 982)
      (233, 1151)
      (233, 1995)
      (234, 709)
      (234, 1602)
      (234, 1940)
      (235, 256)
      (235, 765)
      (235, 891)
      (236, 731)
      (236, 1103)
      (236, 1284)
      (236, 1447)
      (236, 1663)
      (236, 1887)
      (238, 398)
      (238, 930)
      (239, 1111)
      (240, 500)
      (240, 1227)
      (240, 1666)
      (241, 329)
      (242, 1731)
      (242, 1958)
      (243, 1392)
      (245, 882)
      (246, 1850)
      (247, 248)
      (248, 466)
      (248, 1471)
      (249, 463)
      (249, 572)
      (250, 1392)
      (251, 452)
      (251, 788)
      (251, 1253)
      (251, 1394)
      (251, 1908)
      (252, 1890)
      (253, 710)
      (254, 1895)
      (255, 621)
      (255, 761)
      (255, 892)
      (255, 1153)
      (255, 1274)
      (255, 1605)
      (256, 736)
      (256, 840)
      (256, 1035)
      (257, 270)
      (257, 1066)
      (258, 1582)
      (258, 1695)
      (258, 1803)
      (258, 1844)
      (259, 586)
      (260, 1147)
      (261, 648)
      (261, 1660)
      (262, 1086)
      (263, 505)
      (263, 598)
      (263, 1047)
      (263, 1126)
      (265, 341)
      (266, 1455)
      (267, 1088)
      (268, 1197)
      (268, 1479)
      (268, 1487)
      (268, 1582)
      (268, 1809)
      (269, 588)
      (269, 1032)
      (270, 548)
      (271, 648)
      (272, 1333)
      (272, 1651)
      (273, 337)
      (273, 555)
      (273, 682)
      (273, 1308)
      (274, 762)
      (274, 1170)
      (274, 1580)
      (274, 1582)
      (274, 1653)
      (275, 653)
      (275, 1163)
      (275, 1701)
      (275, 1896)
      (276, 1644)
      (276, 1825)
      (278, 1681)
      (279, 676)
      (280, 633)
      (281, 1282)
      (281, 1407)
      (282, 334)
      (282, 1056)
      (282, 1109)
      (282, 1771)
      (282, 1819)
      (283, 378)
      (283, 791)
      (284, 314)
      (285, 1363)
      (285, 1439)
      (285, 1689)
      (286, 593)
      (287, 1916)
      (288, 818)
      (288, 926)
      (289, 943)
      (289, 1102)
      (290, 689)
      (290, 891)
      (290, 1873)
      (291, 1608)
      (292, 1677)
      (292, 1831)
      (293, 1375)
      (294, 735)
      (294, 1608)
      (295, 967)
      (296, 1017)
      (296, 1099)
      (296, 1529)
      (297, 329)
      (297, 1610)
      (298, 791)
      (298, 1004)
      (298, 1452)
      (298, 1525)
      (299, 1696)
      (300, 907)
      (300, 1098)
      (301, 983)
      (301, 1438)
      (302, 1141)
      (303, 394)
      (305, 1467)
      (306, 860)
      (307, 1213)
      (309, 919)
      (309, 1261)
      (309, 1566)
      (311, 438)
      (311, 1211)
      (312, 1897)
      (314, 720)
      (314, 1089)
      (314, 1513)
      (314, 1814)
      (315, 1487)
      (315, 1856)
      (315, 1879)
      (315, 1989)
      (316, 917)
      (317, 1916)
      (318, 549)
      (318, 800)
      (318, 1077)
      (318, 1178)
      (318, 1558)
      (319, 372)
      (320, 1662)
      (321, 339)
      (322, 1193)
      (322, 1496)
      (323, 1527)
      (324, 1539)
      (326, 665)
      (326, 846)
      (328, 1333)
      (329, 849)
      (329, 1099)
      (329, 1141)
      (329, 1277)
      (331, 471)
      (333, 1377)
      (333, 1449)
      (334, 414)
      (334, 910)
      (334, 1102)
      (335, 694)
      (335, 709)
      (335, 972)
      (335, 1629)
      (337, 557)
      (337, 836)
      (337, 890)
      (339, 498)
      (339, 1494)
      (339, 1534)
      (340, 1906)
      (341, 979)
      (341, 1247)
      (343, 494)
      (343, 1338)
      (343, 1901)
      (344, 852)
      (344, 880)
      (344, 1943)
      (345, 529)
      (346, 418)
      (346, 822)
      (346, 1313)
      (346, 1817)
      (347, 1311)
      (347, 1345)
      (347, 1391)
      (347, 1528)
      (350, 1893)
      (350, 1918)
      (351, 498)
      (351, 998)
      (353, 405)
      (353, 777)
      (353, 1206)
      (355, 498)
      (355, 1279)
      (356, 898)
      (356, 1704)
      (356, 1725)
      (358, 820)
      (360, 795)
      (361, 1874)
      (362, 1025)
      (365, 397)
      (365, 938)
      (365, 1259)
      (365, 1394)
      (365, 1829)
      (367, 588)
      (367, 1858)
      (369, 634)
      (369, 646)
      (369, 1169)
      (369, 1252)
      (370, 463)
      (370, 993)
      (371, 1011)
      (371, 1796)
      (371, 1813)
      (372, 382)
      (372, 524)
      (372, 596)
      (372, 1099)
      (372, 1514)
      (372, 1815)
      (373, 1664)
      (373, 1832)
      (374, 899)
      (374, 1957)
      (375, 426)
      (376, 663)
      (377, 806)
      (378, 652)
      (378, 1999)
      (380, 506)
      (380, 713)
      (381, 589)
      (383, 1597)
      (383, 1775)
      (384, 503)
      (387, 1001)
      (387, 1268)
      (387, 1894)
      (388, 659)
      (388, 890)
      (389, 646)
      (390, 1407)
      (391, 1924)
      (392, 1134)
      (393, 570)
      (393, 1071)
      (393, 1149)
      (393, 1184)
      (393, 1220)
      (394, 400)
      (394, 1365)
      (394, 1447)
      (394, 1878)
      (394, 1960)
      (396, 661)
      (396, 1656)
      (398, 1109)
      (399, 838)
      (399, 1304)
      (399, 1465)
      (399, 1851)
      (400, 1906)
      (401, 1350)
      (402, 1083)
      (403, 610)
      (403, 1432)
      (403, 1714)
      (404, 952)
      (404, 1668)
      (405, 1489)
      (406, 855)
      (406, 988)
      (407, 698)
      (407, 804)
      (408, 653)
      (408, 1933)
      (409, 1884)
      (410, 585)
      (410, 1458)
      (411, 1775)
      (412, 964)
      (413, 459)
      (413, 717)
      (413, 929)
      (413, 959)
      (413, 1052)
      (413, 1085)
      (414, 1669)
      (415, 1209)
      (416, 1183)
      (417, 461)
      (417, 1652)
      (418, 1140)
      (419, 943)
      (420, 803)
      (420, 1162)
      (420, 1982)
      (423, 1873)
      (424, 1894)
      (425, 966)
      (425, 1093)
      (426, 1727)
      (426, 1739)
      (428, 460)
      (428, 1873)
      (428, 1874)
      (429, 599)
      (429, 635)
      (429, 906)
      (429, 1150)
      (429, 1335)
      (430, 1358)
      (431, 444)
      (431, 1621)
      (431, 1902)
      (432, 469)
      (432, 1219)
      (432, 1458)
      (434, 1275)
      (434, 1838)
      (436, 1263)
      (439, 901)
      (439, 1051)
      (440, 662)
      (440, 725)
      (440, 902)
      (440, 1271)
      (440, 1642)
      (441, 736)
      (442, 1130)
      (442, 1223)
      (444, 455)
      (444, 634)
      (445, 1009)
      (446, 1194)
      (446, 1317)
      (446, 1382)
      (447, 591)
      (447, 1069)
      (447, 1222)
      (447, 1425)
      (447, 1574)
      (448, 699)
      (450, 695)
      (451, 1869)
      (452, 464)
      (453, 1041)
      (454, 1549)
      (454, 1991)
      (455, 1244)
      (455, 1964)
      (456, 941)
      (456, 1220)
      (456, 1646)
      (456, 1863)
      (456, 1970)
      (458, 1857)
      (459, 1581)
      (459, 1914)
      (460, 1443)
      (460, 1634)
      (460, 1895)
      (461, 1038)
      (461, 1264)
      (461, 1335)
      (461, 1363)
      (461, 1531)
      (461, 1670)
      (462, 483)
      (462, 1856)
      (463, 671)
      (463, 1379)
      (464, 892)
      (464, 921)
      (464, 1321)
      (467, 1025)
      (467, 1410)
      (467, 1830)
      (468, 1488)
      (469, 640)
      (471, 835)
      (471, 1006)
      (471, 1420)
      (471, 1541)
      (472, 654)
      (472, 790)
      (473, 493)
      (473, 1198)
      (474, 1076)
      (474, 1314)
      (474, 1335)
      (476, 630)
      (477, 515)
      (477, 1034)
      (477, 1522)
      (477, 1623)
      (477, 1633)
      (479, 945)
      (479, 995)
      (479, 1102)
      (481, 776)
      (482, 1944)
      (484, 986)
      (484, 1367)
      (486, 1081)
      (489, 1903)
      (490, 636)
      (490, 905)
      (492, 983)
      (492, 1582)
      (493, 1208)
      (493, 1658)
      (496, 1171)
      (496, 1991)
      (497, 513)
      (497, 1341)
      (499, 1417)
      (500, 979)
      (501, 1498)
      (504, 1087)
      (505, 654)
      (505, 754)
      (506, 944)
      (506, 1500)
      (507, 1005)
      (508, 522)
      (508, 958)
      (508, 960)
      (508, 1038)
      (508, 1633)
      (509, 1368)
      (510, 1467)
      (510, 1694)
      (510, 1930)
      (511, 670)
      (511, 1879)
      (514, 724)
      (515, 1261)
      (515, 1409)
      (516, 891)
      (517, 1222)
      (518, 759)
      (518, 1445)
      (518, 1530)
      (518, 1779)
      (518, 1871)
      (519, 1042)
      (519, 1759)
      (520, 1523)
      (520, 1894)
      (521, 815)
      (523, 700)
      (523, 829)
      (523, 1252)
      (523, 1371)
      (524, 1108)
      (527, 766)
      (527, 821)
      (527, 1279)
      (529, 1171)
      (529, 1993)
      (532, 1275)
      (533, 899)
      (533, 1139)
      (534, 1997)
      (537, 949)
      (537, 1181)
      (538, 880)
      (538, 1613)
      (538, 1739)
      (539, 684)
      (540, 1195)
      (540, 1478)
      (542, 563)
      (542, 785)
      (542, 1395)
      (542, 1572)
      (543, 657)
      (543, 1680)
      (544, 1775)
      (545, 959)
      (545, 996)
      (545, 1329)
      (546, 1215)
      (546, 1326)
      (546, 1976)
      (547, 1893)
      (548, 1150)
      (549, 1349)
      (549, 1372)
      (550, 1660)
      (551, 1522)
      (552, 633)
      (552, 973)
      (553, 896)
      (554, 1413)
      (554, 1420)
      (555, 1454)
      (557, 775)
      (557, 949)
      (558, 1032)
      (558, 1476)
      (560, 1245)
      (560, 1453)
      (560, 1505)
      (561, 656)
      (562, 701)
      (562, 1730)
      (563, 580)
      (563, 776)
      (563, 794)
      (563, 824)
      (565, 1519)
      (565, 1584)
      (565, 1674)
      (566, 1903)
      (567, 755)
      (569, 1729)
      (570, 1059)
      (570, 1489)
      (572, 1335)
      (572, 1494)
      (573, 1097)
      (573, 1828)
      (574, 715)
      (574, 1350)
      (574, 1945)
      (575, 1271)
      (576, 1601)
      (578, 788)
      (578, 1550)
      (581, 622)
      (581, 716)
      (581, 736)
      (581, 1265)
      (581, 1414)
      (581, 1863)
      (582, 621)
      (582, 914)
      (582, 957)
      (583, 756)
      (583, 1234)
      (583, 1772)
      (583, 1883)
      (584, 1554)
      (585, 1966)
      (586, 987)
      (586, 1012)
      (586, 1689)
      (587, 1128)
      (589, 727)
      (589, 1120)
      (589, 1773)
      (590, 956)
      (590, 1975)
      (593, 839)
      (596, 739)
      (596, 961)
      (596, 1918)
      (598, 1811)
      (599, 893)
      (599, 1476)
      (601, 686)
      (601, 1660)
      (603, 931)
      (603, 1139)
      (604, 1468)
      (605, 1298)
      (608, 1717)
      (608, 1915)
      (609, 1589)
      (611, 685)
      (613, 1131)
      (613, 1210)
      (613, 1506)
      (613, 1573)
      (614, 972)
      (614, 1598)
      (615, 800)
      (615, 1642)
      (616, 1025)
      (616, 1471)
      (616, 1486)
      (617, 1605)
      (618, 1718)
      (618, 1855)
      (619, 656)
      (619, 798)
      (619, 1552)
      (620, 722)
      (620, 1773)
      (621, 760)
      (621, 1777)
      (625, 796)
      (627, 836)
      (627, 975)
      (629, 928)
      (629, 1129)
      (629, 1424)
      (629, 1810)
      (630, 1594)
      (631, 1409)
      (631, 1790)
      (632, 1918)
      (633, 1103)
      (633, 1187)
      (633, 1593)
      (633, 1867)
      (634, 660)
      (634, 991)
      (635, 1097)
      (635, 1211)
      (635, 1320)
      (636, 1052)
      (638, 1679)
      (639, 1023)
      (640, 1208)
      (640, 1559)
      (642, 818)
      (644, 1271)
      (645, 1156)
      (645, 1413)
      (645, 1875)
      (645, 1915)
      (646, 1325)
      (647, 900)
      (647, 1285)
      (647, 1402)
      (648, 1664)
      (649, 1555)
      (650, 905)
      (650, 1607)
      (651, 1917)
      (652, 862)
      (652, 981)
      (652, 1049)
      (652, 1178)
      (653, 905)
      (654, 1335)
      (654, 1898)
      (655, 1572)
      (656, 1406)
      (657, 750)
      (657, 1373)
      (657, 1676)
      (657, 1829)
      (659, 1860)
      (661, 1291)
      (662, 1991)
      (663, 1254)
      (666, 677)
      (666, 1374)
      (667, 1548)
      (668, 1303)
      (668, 1458)
      (668, 1979)
      (669, 1140)
      (669, 1680)
      (671, 820)
      (672, 1186)
      (672, 1681)
      (673, 969)
      (674, 798)
      (674, 1173)
      (676, 1772)
      (677, 980)
      (677, 1069)
      (677, 1806)
      (682, 745)
      (682, 1195)
      (682, 1372)
      (682, 1842)
      (683, 1243)
      (686, 1089)
      (686, 1284)
      (686, 1315)
      (686, 1431)
      (686, 1809)
      (687, 1316)
      (688, 1212)
      (688, 1224)
      (688, 1673)
      (690, 1168)
      (691, 1078)
      (691, 1179)
      (692, 1408)
      (692, 1783)
      (693, 973)
      (694, 1070)
      (696, 1521)
      (697, 1591)
      (697, 1858)
      (697, 1929)
      (699, 1028)
      (700, 1411)
      (702, 1291)
      (702, 1324)
      (703, 760)
      (704, 960)
      (704, 1588)
      (707, 1148)
      (707, 1209)
      (708, 1412)
      (708, 1565)
      (710, 935)
      (710, 1405)
      (710, 1698)
      (710, 1987)
      (712, 1046)
      (715, 842)
      (715, 1347)
      (715, 1815)
      (717, 1566)
      (718, 826)
      (719, 981)
      (720, 1211)
      (721, 1533)
      (722, 1998)
      (723, 830)
      (724, 1603)
      (724, 1654)
      (726, 739)
      (726, 829)
      (726, 1377)
      (726, 1788)
      (728, 1966)
      (729, 884)
      (729, 1301)
      (729, 1800)
      (729, 1805)
      (731, 1498)
      (733, 1143)
      (733, 1376)
      (734, 1011)
      (734, 1171)
      (735, 889)
      (736, 1249)
      (737, 1759)
      (739, 1050)
      (739, 1085)
      (739, 1996)
      (740, 827)
      (742, 1568)
      (743, 1110)
      (744, 1565)
      (745, 1090)
      (745, 1647)
      (746, 772)
      (747, 1501)
      (747, 1754)
      (749, 984)
      (749, 1552)
      (749, 1982)
      (753, 1415)
      (754, 1827)
      (755, 1071)
      (755, 1276)
      (755, 1839)
      (756, 1929)
      (757, 1061)
      (759, 1434)
      (760, 970)
      (760, 1248)
      (761, 920)
      (762, 806)
      (762, 1538)
      (764, 1136)
      (765, 1237)
      (766, 1660)
      (766, 1825)
      (770, 1181)
      (770, 1872)
      (772, 901)
      (772, 951)
      (772, 1648)
      (772, 1866)
      (772, 1901)
      (773, 877)
      (773, 1033)
      (773, 1823)
      (778, 973)
      (778, 1473)
      (781, 908)
      (781, 995)
      (782, 1947)
      (782, 1974)
      (783, 788)
      (783, 1953)
      (785, 1279)
      (785, 1396)
      (785, 1466)
      (787, 1410)
      (788, 1629)
      (789, 1604)
      (790, 1264)
      (790, 1864)
      (790, 1932)
      (795, 1184)
      (795, 1187)
      (795, 1250)
      (795, 1526)
      (796, 1149)
      (796, 1214)
      (798, 1253)
      (798, 1352)
      (798, 1661)
      (802, 1268)
      (802, 1710)
      (803, 809)
      (803, 850)
      (803, 1030)
      (803, 1728)
      (808, 952)
      (808, 1890)
      (809, 966)
      (812, 1697)
      (813, 826)
      (813, 1306)
      (814, 1135)
      (814, 1170)
      (814, 1737)
      (815, 958)
      (815, 1420)
      (815, 1725)
      (816, 1204)
      (816, 1990)
      (817, 1237)
      (817, 1301)
      (818, 845)
      (820, 1141)
      (820, 1266)
      (820, 1273)
      (822, 945)
      (822, 1298)
      (822, 1444)
      (823, 1205)
      (824, 1548)
      (826, 1902)
      (827, 840)
      (827, 1528)
      (828, 865)
      (828, 1426)
      (828, 1802)
      (829, 1025)
      (830, 1444)
      (831, 999)
      (831, 1071)
      (831, 1276)
      (831, 1647)
      (832, 998)
      (832, 1000)
      (832, 1453)
      (832, 1983)
      (836, 1416)
      (836, 1734)
      (836, 1787)
      (839, 1669)
      (839, 1827)
      (839, 1830)
      (839, 1849)
      (841, 1060)
      (842, 1660)
      (842, 1741)
      (842, 1796)
      (844, 1340)
      (844, 1888)
      (846, 1534)
      (846, 1676)
      (846, 1964)
      (847, 1337)
      (848, 1028)
      (848, 1800)
      (853, 1344)
      (853, 1756)
      (854, 1432)
      (854, 1515)
      (855, 1166)
      (855, 1775)
      (855, 1796)
      (855, 1813)
      (856, 1179)
      (858, 1368)
      (859, 1476)
      (859, 1632)
      (860, 963)
      (860, 1917)
      (863, 1385)
      (864, 1996)
      (866, 893)
      (866, 1186)
      (866, 1268)
      (866, 1638)
      (868, 1320)
      (869, 1533)
      (869, 1850)
      (871, 1243)
      (874, 1535)
      (875, 1117)
      (877, 1499)
      (877, 1878)
      (877, 1886)
      (878, 1920)
      (882, 1668)
      (883, 1399)
      (883, 1637)
      (884, 891)
      (887, 1534)
      (887, 1576)
      (887, 1816)
      (887, 1902)
      (888, 1940)
      (889, 1091)
      (889, 1475)
      (889, 1645)
      (889, 1896)
      (890, 1714)
      (891, 1247)
      (891, 1307)
      (893, 1136)
      (893, 1551)
      (893, 1571)
      (893, 1682)
      (899, 1083)
      (899, 1313)
      (899, 1659)
      (903, 966)
      (903, 1836)
      (904, 1487)
      (904, 1608)
      (904, 1623)
      (905, 912)
      (905, 1219)
      (905, 1595)
      (906, 1298)
      (906, 1610)
      (907, 1959)
      (908, 1792)
      (909, 961)
      (910, 1390)
      (913, 1476)
      (914, 1449)
      (916, 1137)
      (916, 1302)
      (916, 1551)
      (917, 1692)
      (917, 1730)
      (919, 1588)
      (919, 1745)
      (921, 1581)
      (924, 926)
      (924, 1699)
      (925, 1059)
      (925, 1294)
      (925, 1430)
      (926, 935)
      (926, 1417)
      (927, 1019)
      (927, 1177)
      (927, 1266)
      (930, 1236)
      (930, 1670)
      (931, 1149)
      (932, 1966)
      (933, 1710)
      (933, 1999)
      (937, 1125)
      (937, 1643)
      (938, 1746)
      (939, 1192)
      (940, 1374)
      (940, 1440)
      (942, 1993)
      (943, 1104)
      (945, 1076)
      (945, 1216)
      (945, 1690)
      (945, 1802)
      (947, 1254)
      (950, 1455)
      (952, 1133)
      (953, 1895)
      (954, 1825)
      (955, 1712)
      (956, 1759)
      (957, 972)
      (958, 1703)
      (958, 1957)
      (959, 1305)
      (960, 1897)
      (961, 1561)
      (962, 968)
      (963, 987)
      (963, 1120)
      (963, 1285)
      (963, 1579)
      (963, 1958)
      (967, 1150)
      (967, 1849)
      (968, 974)
      (968, 980)
      (970, 1159)
      (971, 1456)
      (971, 1609)
      (971, 1709)
      (972, 1445)
      (972, 1754)
      (973, 1878)
      (973, 1987)
      (976, 1824)
      (977, 1662)
      (979, 1231)
      (979, 1454)
      (979, 1629)
      (981, 1032)
      (982, 1224)
      (983, 1254)
      (984, 1163)
      (985, 1115)
      (985, 1213)
      (985, 1625)
      (985, 1633)
      (986, 1506)
      (986, 1696)
      (987, 1042)
      (988, 1920)
      (989, 1048)
      (989, 1954)
      (989, 1958)
      (991, 1813)
      (994, 1437)
      (994, 1580)
      (995, 1257)
      (996, 1385)
      (1000, 1029)
      (1001, 1936)
      (1001, 1995)
      (1003, 1180)
      (1005, 1259)
      (1005, 1303)
      (1006, 1395)
      (1006, 1916)
      (1007, 1179)
      (1009, 1067)
      (1011, 1085)
      (1011, 1167)
      (1011, 1558)
      (1011, 1783)
      (1014, 1441)
      (1015, 1751)
      (1017, 1776)
      (1019, 1161)
      (1019, 1358)
      (1020, 1330)
      (1023, 1533)
      (1023, 1966)
      (1025, 1349)
      (1026, 1204)
      (1026, 1823)
      (1027, 1681)
      (1029, 1321)
      (1031, 1423)
      (1031, 1679)
      (1034, 1719)
      (1035, 1560)
      (1035, 1652)
      (1035, 1858)
      (1036, 1130)
      (1036, 1803)
      (1037, 1334)
      (1040, 1957)
      (1045, 1473)
      (1045, 1519)
      (1046, 1049)
      (1046, 1518)
      (1046, 1747)
      (1047, 1680)
      (1049, 1683)
      (1051, 1211)
      (1052, 1552)
      (1053, 1550)
      (1053, 1613)
      (1055, 1763)
      (1057, 1503)
      (1058, 1165)
      (1058, 1880)
      (1058, 1936)
      (1058, 1939)
      (1060, 1357)
      (1061, 1363)
      (1061, 1485)
      (1061, 1645)
      (1064, 1091)
      (1064, 1177)
      (1064, 1295)
      (1064, 1580)
      (1065, 1897)
      (1067, 1074)
      (1067, 1136)
      (1067, 1373)
      (1067, 1378)
      (1067, 1585)
      (1067, 1619)
      (1067, 1642)
      (1072, 1604)
      (1073, 1375)
      (1078, 1801)
      (1079, 1324)
      (1081, 1289)
